               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.039467,            0.010657,            0.027411,              0.6785,             0.86364,             0.90568,             0.58644,            0.021047,           0.0059657,            0.019001,           0.0073468,           0.0073468,           0.0073468
                 136,            0.037888,            0.012393,            0.026521,              0.6785,             0.86364,             0.90568,             0.58644,            0.021047,           0.0059657,            0.019001,            0.007327,            0.007327,            0.007327
                 137,            0.039103,             0.01294,            0.028319,              0.6785,             0.86364,             0.90568,             0.58644,            0.021047,           0.0059657,            0.019001,           0.0073072,           0.0073072,           0.0073072
                 138,            0.036579,            0.014289,            0.029006,             0.59535,             0.95455,             0.85475,              0.6472,            0.020503,           0.0059139,            0.019083,           0.0072874,           0.0072874,           0.0072874
                 139,            0.034917,            0.014363,            0.026061,             0.59535,             0.95455,             0.85475,              0.6472,            0.020503,           0.0059139,            0.019083,           0.0072676,           0.0072676,           0.0072676
                 140,            0.040661,            0.013469,            0.027385,             0.59865,             0.77415,             0.84461,             0.45359,            0.024112,           0.0058143,            0.018975,           0.0072478,           0.0072478,           0.0072478
                 141,            0.042558,            0.011588,            0.029888,             0.59865,             0.77415,             0.84461,             0.45359,            0.024112,           0.0058143,            0.018975,            0.007228,            0.007228,            0.007228
                 142,            0.036593,            0.010733,            0.027466,             0.59865,             0.77415,             0.84461,             0.45359,            0.024112,           0.0058143,            0.018975,           0.0072082,           0.0072082,           0.0072082
                 143,            0.036294,            0.012105,            0.026521,             0.66746,             0.78589,             0.82817,             0.48309,            0.021142,           0.0057349,            0.018415,           0.0071884,           0.0071884,           0.0071884
                 144,            0.035273,            0.012438,            0.026576,             0.66746,             0.78589,             0.82817,             0.48309,            0.021142,           0.0057349,            0.018415,           0.0071686,           0.0071686,           0.0071686
                 145,            0.032947,            0.012105,            0.026692,             0.54393,             0.72727,              0.7564,             0.46458,            0.026046,           0.0058305,            0.018198,           0.0071488,           0.0071488,           0.0071488
                 146,            0.050417,            0.013135,            0.027932,             0.54393,             0.72727,              0.7564,             0.46458,            0.026046,           0.0058305,            0.018198,            0.007129,            0.007129,            0.007129
                 147,            0.043702,            0.010694,              0.0269,             0.54393,             0.72727,              0.7564,             0.46458,            0.026046,           0.0058305,            0.018198,           0.0071092,           0.0071092,           0.0071092
                 148,            0.044798,            0.012965,            0.028419,              0.6147,                   1,             0.84191,             0.48528,            0.020478,           0.0055667,            0.017505,           0.0070894,           0.0070894,           0.0070894
                 149,            0.032116,           0.0096523,            0.027707,              0.6147,                   1,             0.84191,             0.48528,            0.020478,           0.0055667,            0.017505,           0.0070696,           0.0070696,           0.0070696
                 150,            0.032258,            0.011693,            0.030359,              0.6147,                   1,             0.84191,             0.48528,            0.020478,           0.0055667,            0.017505,           0.0070498,           0.0070498,           0.0070498
